A/C,N,R,O,RU,UO,U,RO
housedust HR,0.000242516,0.000909435,0.000575976,0.000424403,0.000287988,0.001136794,0.000424403
housedust LR,7.58E-05,0.000363774,0.000212202,6.06E-05,0.00016673,0.000485032,9.09E-05
housedust MR,0.000348617,0.000924593,0.000530504,0.000272831,0.000303145,0.00171277,0.000378931
housedust NR,4.55E-05,0.000106101,0.000212202,9.09E-05,3.03E-05,0.000500189,7.58E-05
cottondust LR,0.00016673,0.000394089,0.000242516,0.00016673,0.00016673,0.000848806,0.000121258
cottondust HR,0.000106101,0.000348617,0.000197044,0.000181887,0.000212202,0.000727548,0.000106101
cottondust MR,0.000257673,0.000879121,0.000575976,0.000348617,0.000242516,0.001136794,0.000454718
cottondust KR,0,1.52E-05,0,0,0,1.52E-05,0
cottondust NR,0.000181887,0.000666919,0.000515347,0.000151573,0.00016673,0.00110648,0.000287988
aspergilus LR,0.000121258,0.00043956,0.000318302,9.09E-05,0.000151573,0.000879121,0.000181887
aspergilus HR,0.000121258,0.000485032,0.00043956,0.00016673,0.000151573,0.00060629,0.000272831
aspergilus MR,0.000272831,0.000757863,0.000409246,0.000409246,0.000272831,0.001227738,0.000257673
aspergilus KR,1.52E-05,4.55E-05,0,1.52E-05,1.52E-05,1.52E-05,0
aspergilus NR,0.000181887,0.000575976,0.000363774,0.00016673,0.000197044,0.00110648,0.000257673
pollen LR,9.09E-05,0.000363774,9.09E-05,9.09E-05,0.000106101,0.000636605,0.000106101
pollen HR,0.000212202,0.000788177,0.000591133,0.000303145,0.00033346,0.001136794,0.000409246
pollen MR,0.000363774,0.000954907,0.00060629,0.000409246,0.000303145,0.001788556,0.000394089
pollen KR,0,1.52E-05,1.52E-05,1.52E-05,0,0,0
pollen NR,4.55E-05,0.000181887,0.000227359,3.03E-05,4.55E-05,0.000272831,6.06E-05
parthenium LR,6.06E-05,0.000197044,0.000106101,7.58E-05,4.55E-05,0.000303145,0
parthenium HR,0.000378931,0.001151951,0.000833649,0.000515347,0.00043956,0.001864343,0.000591133
parthenium MR,0.000257673,0.000863964,0.000515347,0.000212202,0.000272831,0.001485411,0.00033346
parthenium KR,0,0,1.52E-05,0,0,0,0
parthenium NR,1.52E-05,9.09E-05,6.06E-05,4.55E-05,3.03E-05,0.000181887,4.55E-05
cockroach LR,3.03E-05,0.000181887,0.000197044,0.000136415,6.06E-05,0.000469875,0.000106101
cockroach HR,0.00043956,0.001030693,0.000575976,0.00043956,0.000348617,0.001758242,0.000530504
cockroach MR,0.000212202,0.000894278,0.000560818,0.000242516,0.000287988,0.001182266,0.000212202
cockroach KR,0,3.03E-05,1.52E-05,0,0,3.03E-05,0
cockroach NR,3.03E-05,0.00016673,0.000181887,3.03E-05,9.09E-05,0.000394089,0.000121258
catdander LR,0,4.55E-05,4.55E-05,1.52E-05,0,6.06E-05,1.52E-05
catdander HR,0,0,0,0,0,4.55E-05,3.03E-05
catdander KR,0.000636605,0.002122016,0.001424782,0.00077302,0.000712391,0.003516484,0.000818492
catdander MR,0,1.52E-05,0,1.52E-05,0,3.03E-05,0
catdander NR,7.58E-05,0.000121258,6.06E-05,4.55E-05,7.58E-05,0.000181887,0.000106101
dosfur LR,4.55E-05,6.06E-05,3.03E-05,9.09E-05,7.58E-05,0.000106101,7.58E-05
dosfur HR,1.52E-05,1.52E-05,1.52E-05,3.03E-05,1.52E-05,4.55E-05,0
dosfur KR,0.00060629,0.002031072,0.001333839,0.000682077,0.000666919,0.003440697,0.00077302
dosfur MR,1.52E-05,4.55E-05,9.09E-05,1.52E-05,1.52E-05,0.000106101,9.09E-05
dosfur NR,3.03E-05,0.000151573,6.06E-05,3.03E-05,1.52E-05,0.000136415,3.03E-05
roaddust LR,6.06E-05,0.000197044,0.000136415,9.09E-05,7.58E-05,0.000454718,0.000106101
roaddust HR,0,0,1.52E-05,0,0,6.06E-05,1.52E-05
roaddust MR,0,0.000136415,4.55E-05,4.55E-05,6.06E-05,0.00016673,7.58E-05
roaddust KR,0.000378931,0.00016673,0.000121258,4.55E-05,7.58E-05,0.000272831,7.58E-05
roaddust NR,0.000272831,0.001803714,0.001212581,0.000666919,0.000575976,0.002879879,0.000697234
oldpdust LR,1.52E-05,3.03E-05,6.06E-05,1.52E-05,4.55E-05,0.00016673,3.03E-05
oldpdust HR,0,0,1.52E-05,1.52E-05,0,3.03E-05,0
oldpdust KR,0.000682077,0.002076544,0.001348996,0.000742706,0.000651762,0.003289125,0.000863964
oldpdust MR,0,0,0,1.52E-05,0,6.06E-05,4.55E-05
oldpdust NR,1.52E-05,0.000197044,0.000106101,6.06E-05,9.09E-05,0.000287988,3.03E-05
PSdust LR,4.55E-05,0.00016673,0.000136415,9.09E-05,9.09E-05,0.000515347,4.55E-05
PSdust HR,0,6.06E-05,0,1.52E-05,0,3.03E-05,1.52E-05
PSdust KR,0.000409246,0.001000379,0.000575976,0.000303145,0.000242516,0.001455097,0.000378931
PSdust MR,3.03E-05,6.06E-05,0.000181887,9.09E-05,4.55E-05,0.000272831,3.03E-05
PSdust NR,0.000227359,0.001015536,0.000636605,0.000348617,0.000409246,0.001561197,0.000500189
MilkP LR,3.03E-05,0.000212202,0.000136415,0.000121258,9.09E-05,0.000394089,1.52E-05
MilkP HR,0,3.03E-05,6.06E-05,1.52E-05,0,6.06E-05,1.52E-05
MilkP KR,0.000636605,0.001606669,0.000924593,0.000575976,0.000515347,0.002591891,0.000666919
MilkP MR,1.52E-05,0.000181887,0.000121258,6.06E-05,7.58E-05,0.00016673,1.52E-05
MilkP NR,3.03E-05,0.000272831,0.000287988,7.58E-05,0.000106101,0.000621448,0.000257673
MilkC LR,7.58E-05,0.000303145,0.000227359,0.000181887,7.58E-05,0.000697234,0.000197044
MilkC HR,1.52E-05,6.06E-05,0.000151573,3.03E-05,9.09E-05,0.000136415,3.03E-05
MilkC MR,3.03E-05,0.000318302,9.09E-05,7.58E-05,7.58E-05,0.00043956,9.09E-05
MilkC KR,0.000485032,0.001121637,0.000757863,0.000485032,0.000348617,0.001803714,0.000515347
MilkC NR,0.000106101,0.000500189,0.000303145,7.58E-05,0.000197044,0.000757863,0.000136415
curd LR,4.55E-05,9.09E-05,4.55E-05,3.03E-05,6.06E-05,0.000121258,1.52E-05
curd KR,0.000636605,0.002000758,0.00127321,0.000682077,0.000651762,0.003213338,0.000848806
curd NR,1.52E-05,0.000212202,0.00016673,0.000136415,4.55E-05,0.000424403,9.09E-05
curd MR,1.52E-05,0,4.55E-05,0,3.03E-05,7.58E-05,1.52E-05
coffee LR,4.55E-05,0.000348617,0.00016673,0.000181887,0.000106101,0.000682077,0.00016673
coffee HR,3.03E-05,1.52E-05,4.55E-05,1.52E-05,1.52E-05,0.000121258,3.03E-05
coffee MR,3.03E-05,0.000227359,0.000136415,9.09E-05,0.000106101,0.000378931,0.000106101
coffee KR,0.000454718,0.000757863,0.000591133,0.000257673,0.000287988,0.001318681,0.000257673
coffee NR,0.000151573,0.000954907,0.000591133,0.000303145,0.000272831,0.001333839,0.000409246
tea LR,3.03E-05,0.000212202,7.58E-05,7.58E-05,0.000121258,0.000469875,9.09E-05
tea HR,1.52E-05,3.03E-05,3.03E-05,1.52E-05,0,0.000106101,3.03E-05
tea KR,0.000485032,0.001182266,0.000742706,0.000363774,0.000318302,0.001591512,0.00043956
tea MR,6.06E-05,0.000197044,0.000121258,9.09E-05,7.58E-05,0.000378931,4.55E-05
tea NR,0.000121258,0.000682077,0.000560818,0.000303145,0.000272831,0.001288367,0.000363774
beef LR,4.55E-05,0.000303145,0.000181887,0.000121258,0.000151573,0.000485032,6.06E-05
beef HR,3.03E-05,4.55E-05,1.52E-05,0,1.52E-05,7.58E-05,4.55E-05
beef KR,0.000454718,0.000560818,0.000469875,0.000257673,0.00016673,0.001303524,0.000272831
beef MR,1.52E-05,0.000242516,0.000151573,0.000136415,0.000106101,0.000378931,0.000121258
beef NR,0.00016673,0.001151951,0.000712391,0.00033346,0.000348617,0.001591512,0.000469875
chicken LR,3.03E-05,0.000469875,0.000318302,0.000227359,0.000227359,0.00077302,0.00016673
chicken HR,0,1.52E-05,1.52E-05,1.52E-05,0,6.06E-05,0
chicken KR,0.000500189,0.000697234,0.000575976,0.000227359,0.000242516,0.001227738,0.000318302
chicken MR,9.09E-05,9.09E-05,0.000121258,9.09E-05,4.55E-05,0.000394089,0.000106101
chicken NR,9.09E-05,0.001030693,0.000500189,0.000287988,0.000272831,0.00137931,0.000378931
mutton LR,6.06E-05,0.000227359,0.000121258,0.000106101,3.03E-05,0.000530504,9.09E-05
mutton HR,0,1.52E-05,0,0,0,4.55E-05,0
mutton MR,0,7.58E-05,6.06E-05,4.55E-05,6.06E-05,0.00016673,4.55E-05
mutton KR,0.000530504,0.001091322,0.000757863,0.00033346,0.000394089,0.00171277,0.000469875
mutton NR,0.000121258,0.000894278,0.000591133,0.000363774,0.000303145,0.00137931,0.000363774
egg LR,3.03E-05,0.000181887,0.000121258,9.09E-05,4.55E-05,0.000409246,9.09E-05
egg HR,0,6.06E-05,4.55E-05,3.03E-05,4.55E-05,4.55E-05,1.52E-05
egg MR,3.03E-05,0.000106101,1.52E-05,3.03E-05,9.09E-05,0.000212202,0.000106101
egg KR,0.000636605,0.001606669,0.001136794,0.000545661,0.000500189,0.002576734,0.000682077
egg NR,1.52E-05,0.000348617,0.000212202,0.000151573,0.000106101,0.000591133,7.58E-05
fishA LR,4.55E-05,0.000287988,0.000151573,0.000106101,0.000106101,0.000424403,0.000106101
fishA HR,1.52E-05,6.06E-05,6.06E-05,3.03E-05,1.52E-05,0.00016673,1.52E-05
fishA KR,0.000575976,0.001015536,0.00077302,0.000394089,0.000363774,0.001697613,0.000454718
fishA MR,1.52E-05,0.000136415,9.09E-05,3.03E-05,6.06E-05,0.000272831,0.000106101
fishA NR,6.06E-05,0.000803335,0.000454718,0.000287988,0.000242516,0.00127321,0.000287988
fishB LR,0,0,1.52E-05,1.52E-05,0,0,1.52E-05
fishB KR,0.000697234,0.00215233,0.001424782,0.000757863,0.000727548,0.003607427,0.000909435
fishB NR,1.52E-05,0.000151573,9.09E-05,6.06E-05,6.06E-05,0.000227359,4.55E-05
fishB MR,0,0,0,1.52E-05,0,0,0
crab LR,6.06E-05,0.000151573,0.000212202,0.000106101,0.000136415,0.000394089,0.000121258
crab HR,0,1.52E-05,1.52E-05,3.03E-05,1.52E-05,4.55E-05,3.03E-05
crab KR,0.000469875,0.001121637,0.000727548,0.00033346,0.000303145,0.001530883,0.000500189
crab MR,1.52E-05,0.000121258,7.58E-05,4.55E-05,6.06E-05,0.00033346,3.03E-05
crab NR,0.00016673,0.000894278,0.000500189,0.00033346,0.000272831,0.001530883,0.000287988
prawns LR,1.52E-05,6.06E-05,7.58E-05,4.55E-05,0,0.00016673,1.52E-05
prawns HR,0,1.52E-05,0,1.52E-05,0,3.03E-05,0
prawns KR,0.000621448,0.001727927,0.001242895,0.000621448,0.000682077,0.00281925,0.000848806
prawns MR,1.52E-05,4.55E-05,1.52E-05,1.52E-05,0,1.52E-05,0
prawns NR,6.06E-05,0.000454718,0.000197044,0.000151573,0.000106101,0.000803335,0.000106101
shark LR,7.58E-05,0.000409246,0.000242516,0.000272831,0.000242516,0.000697234,0.000106101
shark HR,1.52E-05,6.06E-05,4.55E-05,0,1.52E-05,0.000106101,0
shark KR,0.000409246,0.000272831,0.000181887,6.06E-05,4.55E-05,0.000348617,0.000136415
shark MR,7.58E-05,0.000303145,0.000151573,4.55E-05,6.06E-05,0.000409246,6.06E-05
shark NR,0.000136415,0.001258052,0.000909435,0.000469875,0.000424403,0.002273588,0.000666919
avaraikai LR,1.52E-05,0.00016673,0.000121258,7.58E-05,0.000121258,0.000394089,9.09E-05
avaraikai HR,0,0,4.55E-05,0,3.03E-05,1.52E-05,0
avaraikai KR,0.000530504,0.001121637,0.000818492,0.000424403,0.000287988,0.001773399,0.000409246
avaraikai MR,0,0.000106101,4.55E-05,4.55E-05,3.03E-05,0.000287988,6.06E-05
avaraikai NR,0.00016673,0.000909435,0.000500189,0.000303145,0.000318302,0.001364153,0.000409246
banana LR,9.09E-05,0.000560818,0.000287988,0.000257673,0.000181887,0.000727548,0.000287988
banana HR,0,7.58E-05,4.55E-05,3.03E-05,3.03E-05,6.06E-05,0
banana KR,0.000454718,0.000348617,0.000485032,0.000181887,0.000197044,0.000985222,0.000212202
banana MR,1.52E-05,0.000242516,7.58E-05,9.09E-05,4.55E-05,0.000348617,7.58E-05
banana NR,0.000151573,0.001076165,0.000636605,0.000287988,0.00033346,0.00171277,0.000394089
beans LR,3.03E-05,0.000212202,0.00016673,7.58E-05,0.00016673,0.000469875,0.000136415
beans HR,0,0,3.03E-05,1.52E-05,0,4.55E-05,0
beans KR,0.000515347,0.000985222,0.000560818,0.000363774,0.00033346,0.001561197,0.000469875
beans MR,0,3.03E-05,0.000106101,3.03E-05,0,0.000212202,3.03E-05
beans NR,0.00016673,0.001076165,0.000666919,0.000363774,0.000287988,0.00154604,0.00033346
beetroot LR,0,9.09E-05,4.55E-05,3.03E-05,1.52E-05,6.06E-05,4.55E-05
beetroot HR,0,1.52E-05,0,0,0,3.03E-05,1.52E-05
beetroot KR,0.00060629,0.0018795,0.001258052,0.000651762,0.000682077,0.003076923,0.000757863
beetroot MR,1.52E-05,1.52E-05,4.55E-05,0,1.52E-05,3.03E-05,1.52E-05
beetroot NR,9.09E-05,0.000303145,0.000181887,0.00016673,7.58E-05,0.000636605,0.000136415
brinjal LR,0,1.52E-05,1.52E-05,3.03E-05,0,6.06E-05,0
brinjal MR,0,0,0,0,0,3.03E-05,0
brinjal KR,0.000666919,0.002061387,0.001394468,0.00077302,0.000666919,0.003334596,0.000833649
brinjal NR,4.55E-05,0.000227359,0.000121258,4.55E-05,0.000121258,0.000409246,0.000136415
cabbage LR,3.03E-05,0.000181887,0.000106101,6.06E-05,1.52E-05,0.000197044,1.52E-05
cabbage HR,0,1.52E-05,0,0,0,3.03E-05,0
cabbage KR,0.000575976,0.001409625,0.000954907,0.000515347,0.000515347,0.002697992,0.00077302
cabbage MR,1.52E-05,7.58E-05,7.58E-05,1.52E-05,0,0.000106101,1.52E-05
cabbage NR,9.09E-05,0.000621448,0.000394089,0.000257673,0.000257673,0.000803335,0.00016673
capsicum LR,3.03E-05,0.000227359,0.000242516,0.000181887,6.06E-05,0.000530504,0.000106101
capsicum HR,0,6.06E-05,0,3.03E-05,1.52E-05,9.09E-05,1.52E-05
capsicum KR,0.000409246,0.00016673,0.000181887,4.55E-05,4.55E-05,0.000394089,0.000136415
capsicum MR,4.55E-05,7.58E-05,9.09E-05,6.06E-05,1.52E-05,0.000287988,4.55E-05
capsicum NR,0.000227359,0.001773399,0.001015536,0.000530504,0.000651762,0.002531262,0.000666919
chillie LR,0,3.03E-05,1.52E-05,6.06E-05,3.03E-05,0.000136415,3.03E-05
chillie HR,0,0,4.55E-05,0,0,1.52E-05,0
chillie MR,0,3.03E-05,1.52E-05,1.52E-05,1.52E-05,4.55E-05,0
chillie KR,0.000636605,0.001743085,0.001167109,0.000621448,0.000636605,0.002910193,0.000833649
chillie NR,7.58E-05,0.000500189,0.000287988,0.000151573,0.000106101,0.000727548,0.000106101
cauliflower LR,1.52E-05,4.55E-05,4.55E-05,3.03E-05,4.55E-05,0.000106101,4.55E-05
cauliflower HR,0,1.52E-05,0,0,0,1.52E-05,1.52E-05
cauliflower MR,0,1.52E-05,0,0,0,4.55E-05,0
cauliflower KR,0.000682077,0.001909814,0.001197423,0.000666919,0.000682077,0.003107238,0.000833649
cauliflower NR,1.52E-05,0.000318302,0.000287988,0.000151573,6.06E-05,0.000560818,7.58E-05
carrot LR,0,3.03E-05,1.52E-05,3.03E-05,1.52E-05,4.55E-05,0
carrot KR,0.000666919,0.001985601,0.00137931,0.000697234,0.000727548,0.00342554,0.000833649
carrot NR,4.55E-05,0.000272831,0.000136415,0.000121258,4.55E-05,0.000348617,0.000136415
carrot MR,0,1.52E-05,0,0,0,1.52E-05,0
chowchow LR,7.58E-05,0.000257673,9.09E-05,0.000121258,9.09E-05,0.000378931,9.09E-05
chowchow HR,0,3.03E-05,1.52E-05,0,0,6.06E-05,0
chowchow MR,1.52E-05,0.000136415,9.09E-05,7.58E-05,3.03E-05,0.000227359,7.58E-05
chowchow KR,0.000363774,0.000227359,0.000151573,6.06E-05,6.06E-05,0.000287988,6.06E-05
chowchow NR,0.000257673,0.001652141,0.001182266,0.000591133,0.00060629,0.002879879,0.000742706
corn LR,4.55E-05,0.000394089,0.000363774,0.000212202,0.000242516,0.000985222,0.000212202
corn HR,1.52E-05,0.000106101,3.03E-05,3.03E-05,3.03E-05,0.000136415,4.55E-05
corn MR,6.06E-05,0.000287988,0.000136415,0.000121258,6.06E-05,0.000575976,0.000136415
corn KR,0.000378931,0.000318302,0.000151573,4.55E-05,9.09E-05,0.000212202,6.06E-05
corn NR,0.000212202,0.001197423,0.000848806,0.00043956,0.000363774,0.001924972,0.000515347
cucumber LR,1.52E-05,0.00033346,0.000227359,0.000151573,0.00016673,0.000530504,0.000106101
cucumber HR,0,0,0,1.52E-05,1.52E-05,1.52E-05,1.52E-05
cucumber KR,0.000378931,0.000530504,0.000454718,0.000136415,0.000121258,0.000742706,0.000272831
cucumber MR,3.03E-05,4.55E-05,3.03E-05,4.55E-05,4.55E-05,0.000212202,7.58E-05
cucumber NR,0.000287988,0.001394468,0.000818492,0.000500189,0.00043956,0.002334218,0.000500189
drumstick LR,1.52E-05,7.58E-05,3.03E-05,0,6.06E-05,7.58E-05,1.52E-05
drumstick HR,1.52E-05,0,0,0,1.52E-05,0,0
drumstick KR,0.000591133,0.001758242,0.001121637,0.000666919,0.000545661,0.002864721,0.000803335
drumstick MR,0,0,1.52E-05,3.03E-05,0,3.03E-05,1.52E-05
drumstick NR,9.09E-05,0.000469875,0.000363774,0.000151573,0.00016673,0.000863964,0.000136415
greens LR,0,3.03E-05,0,3.03E-05,0,6.06E-05,1.52E-05
greens KR,0.000651762,0.002091701,0.001439939,0.000712391,0.000727548,0.003531641,0.000909435
greens NR,6.06E-05,0.000181887,9.09E-05,0.000106101,6.06E-05,0.000227359,4.55E-05
greens MR,0,0,0,0,0,1.52E-05,0
gourds LR,9.09E-05,0.000682077,0.000318302,0.000227359,0.000212202,0.001000379,0.000227359
gourds HR,0,0.000106101,7.58E-05,7.58E-05,1.52E-05,0.000181887,1.52E-05
gourds KR,0.000378931,0.000272831,0.000121258,0.000106101,6.06E-05,0.000303145,0.000106101
gourds MR,9.09E-05,0.000303145,0.000227359,0.000197044,0.00016673,0.000727548,0.000136415
gourds NR,0.000151573,0.00093975,0.000788177,0.000242516,0.00033346,0.001621826,0.000485032
kovaikai LR,3.03E-05,9.09E-05,6.06E-05,4.55E-05,1.52E-05,0.000151573,3.03E-05
kovaikai HR,0,1.52E-05,0,0,0,1.52E-05,0
kovaikai KR,0.000530504,0.001485411,0.001000379,0.000621448,0.000515347,0.00265252,0.000666919
kovaikai MR,1.52E-05,1.52E-05,4.55E-05,0,1.52E-05,1.52E-05,0
